tiempo,posicion_tics,velocidad_rpm
2026-08-12T11:19:33.152794,0,0.0
2026-08-12T11:19:33.652439,0,0.0
2026-08-12T11:19:34.152573,0,0.0
2026-08-12T11:19:34.652484,0,0.0
2026-08-12T11:19:35.152218,0,0.0
2026-08-12T11:19:35.652180,0,0.0
2026-08-12T11:19:36.151870,0,0.0
2026-08-12T11:19:36.652257,0,0.0
2026-08-12T11:19:37.152507,0,0.0
2026-08-12T11:19:37.652446,-10,-3.2012710571289062
2026-08-12T11:19:38.152894,-309,-5.059032917022705
2026-08-12T11:19:38.652620,-396,-2.2275168895721436
2026-08-12T11:19:39.152348,-1197,-6.267655849456787
2026-08-12T11:19:39.651946,-1330,-14.960999488830566
2026-08-12T11:19:40.152101,-1330,-3.205423593521118
2026-08-12T11:19:40.652191,-1526,-5.402552127838135
2026-08-12T11:19:41.152096,-2017,-12.033771514892578
2026-08-12T11:19:41.652853,-2603,-9.947145462036133
2026-08-12T11:19:42.152239,-2603,-2.7494962215423584
2026-08-12T11:19:42.651905,-2600,0.07476836442947388
2026-08-12T11:19:43.152105,-2600,0.0
2026-08-12T11:19:43.651921,-2600,0.0
2026-08-12T11:19:44.152290,-2600,0.0
2026-08-12T11:19:44.652397,-2600,0.0
2026-08-12T11:19:45.152449,-2600,0.0
2026-08-12T11:19:45.652480,-2600,0.0
2026-08-12T11:19:46.152156,-2600,0.0
2026-08-12T11:19:46.651930,-2600,0.0
2026-08-12T11:19:47.152154,-2600,0.0
2026-08-12T11:19:47.652030,-2600,0.0
2026-08-12T11:19:48.152121,-2600,0.0
2026-08-12T11:19:48.651897,-2600,0.0
2026-08-12T11:19:49.152128,-2600,0.0
2026-08-12T11:19:49.652114,-2600,0.0
2026-08-12T11:19:50.152554,-2600,0.0
2026-08-12T11:19:50.652279,-2600,0.0
2026-08-12T11:19:51.151972,-2600,0.0
2026-08-12T11:19:51.651964,-2601,0.0
2026-08-12T11:19:52.152567,-2601,-0.025156980380415916
2026-08-12T11:19:52.652265,-2601,0.0
2026-08-12T11:19:53.152454,-2600,0.028584692627191544
2026-08-12T11:19:53.652265,-2594,0.10693340003490448
2026-08-12T11:19:54.152500,-2594,0.048607684671878815
2026-08-12T11:19:54.652499,-2592,0.0573614202439785
2026-08-12T11:19:55.152194,-2588,0.1061314195394516
2026-08-12T11:19:55.651930,-1982,3.615246295928955
2026-08-12T11:19:56.152187,-1982,12.022682189941406
2026-08-12T11:19:56.652519,-1242,18.08861541748047
2026-08-12T11:19:57.151884,-743,-1.0173051357269287
2026-08-12T11:19:57.653058,-743,14.502564430236816
2026-08-12T11:19:58.152668,645,34.288848876953125
2026-08-12T11:19:58.652320,1180,13.093365669250488
2026-08-12T11:19:59.152192,1538,5.568476676940918
2026-08-12T11:19:59.652605,1564,0.9726942181587219
2026-08-12T11:20:00.152289,1477,-1.6882667541503906
2026-08-12T11:20:00.651930,1531,-0.5848861336708069
2026-08-12T11:20:01.151980,1809,1.4285207986831665
2026-08-12T11:20:01.652120,1809,7.103963375091553
2026-08-12T11:20:02.152091,1493,-7.794262886047363
2026-08-12T11:20:02.652250,1445,-0.9676974415779114
2026-08-12T11:20:03.152475,1487,1.1973320245742798
2026-08-12T11:20:03.652007,1391,-3.2325282096862793
2026-08-12T11:20:04.152183,1391,0.0
2026-08-12T11:20:04.652605,1364,-5.566254615783691
2026-08-12T11:20:05.152188,955,-5.284031867980957
2026-08-12T11:20:05.652085,955,0.0
2026-08-12T11:20:06.152000,955,0.0
2026-08-12T11:20:06.652446,955,0.0
2026-08-12T11:20:07.152124,955,0.0
2026-08-12T11:20:07.651893,955,0.0
2026-08-12T11:20:08.152499,955,0.0
2026-08-12T11:20:08.652930,955,0.0
2026-08-12T11:20:09.152215,955,0.0
2026-08-12T11:20:09.652479,955,0.0
2026-08-12T11:20:10.151892,955,0.0
2026-08-12T11:20:10.652526,955,0.0
2026-08-12T11:20:11.152851,955,0.0
2026-08-12T11:20:11.652241,955,0.0
2026-08-12T11:20:12.151902,955,0.0
2026-08-12T11:20:12.652541,955,0.0
2026-08-12T11:20:13.152202,955,0.0
2026-08-12T11:20:13.652340,955,0.0
2026-08-12T11:20:14.152561,955,0.0
2026-08-12T11:20:14.653501,955,0.0
2026-08-12T11:20:15.152193,955,0.0
2026-08-12T11:20:15.652263,955,0.0
2026-08-12T11:20:16.152542,955,0.0
2026-08-12T11:20:16.651901,955,0.0
2026-08-12T11:20:17.152195,955,0.0
2026-08-12T11:20:17.652194,955,0.0
2026-08-12T11:20:18.152661,955,0.0
2026-08-12T11:20:18.652376,955,0.0
2026-08-12T11:20:19.152220,955,0.0
2026-08-12T11:20:19.652267,955,0.0
2026-08-12T11:20:20.152602,955,0.0
2026-08-12T11:20:20.652428,955,0.0
2026-08-12T11:20:21.152247,955,0.0
2026-08-12T11:20:21.652350,955,0.0
2026-08-12T11:20:22.152330,955,0.0
2026-08-12T11:20:22.652543,955,0.0
2026-08-12T11:20:23.152358,955,0.0
2026-08-12T11:20:23.651920,955,0.0
2026-08-12T11:20:24.151908,955,0.0
2026-08-12T11:20:24.652605,955,0.0
2026-08-12T11:20:25.152574,955,0.0
2026-08-12T11:20:25.652544,955,0.0
2026-08-12T11:20:26.151861,955,0.0
2026-08-12T11:20:26.651989,955,0.0
2026-08-12T11:20:27.151905,955,0.0
2026-08-12T11:20:27.651966,955,0.0
2026-08-12T11:20:28.151988,955,0.0
2026-08-12T11:20:28.652285,955,0.0
2026-08-12T11:20:29.151995,955,0.0
2026-08-12T11:20:29.652176,955,0.0
2026-08-12T11:20:30.152404,955,0.0
