Timestamp_sec,Posicion_ticks,Velocidad_RPM
1786546190.2211485,556,0.0
1786546190.720939,556,0.0
1786546191.220932,556,0.0
1786546191.7213027,556,0.0
1786546192.2209086,556,0.0
1786546192.720968,556,0.0
1786546193.220924,556,0.0
1786546193.7212915,556,0.0
1786546194.2212923,556,0.0
1786546194.7208548,556,0.0
1786546195.2208493,556,0.0
1786546195.7208548,556,0.0
1786546196.2208467,556,0.0
1786546196.7207778,556,0.0
1786546197.2208035,556,0.0
1786546197.7208164,556,0.0
1786546198.2207773,556,0.0
1786546198.7207687,556,0.0
1786546199.2208128,556,0.0
1786546199.720766,556,0.0
1786546200.2207658,556,0.0
1786546200.7206702,556,0.0
1786546201.2206798,556,0.0
1786546201.7206595,556,0.0
1786546202.2207525,556,0.0
1786546202.7207463,556,0.0
1786546203.2207463,556,0.0
1786546203.7207503,556,0.0
1786546204.2208319,556,0.0
1786546204.720788,556,0.0
1786546205.2209144,556,0.0
1786546205.7208934,556,0.0
1786546206.2208536,556,0.0
1786546206.7208402,556,0.0
1786546207.2212453,556,0.0
1786546207.7213016,556,0.0
1786546208.220819,556,0.0
1786546208.7209363,556,0.0
1786546209.2210042,556,0.0
1786546209.7209008,556,0.0
1786546210.2208118,556,0.0
1786546210.7213104,556,0.0
1786546211.221313,556,0.0
1786546211.7213407,556,0.0
1786546212.220959,556,0.0
1786546212.7209315,556,0.0
1786546213.2208421,556,0.0
1786546213.7208896,556,0.0
1786546214.2208965,556,0.0
1786546214.7213068,556,0.0
1786546215.2209277,556,0.0
1786546215.7213144,556,0.0
1786546216.2212248,556,0.0
1786546216.7211828,556,0.0
1786546217.2209232,556,0.0
1786546217.720776,556,0.0
1786546218.2208412,556,0.0
1786546218.7213342,556,0.0
1786546219.221456,556,0.0
1786546219.720774,556,0.0
1786546220.221366,556,0.0
1786546220.7209582,556,0.0
1786546221.220788,556,0.0
1786546221.7208552,556,0.0
1786546222.2209175,556,0.0
1786546222.7209067,556,0.0
1786546223.2208662,556,0.0
1786546223.7208505,556,0.0
1786546224.2209313,556,0.0
1786546224.7208498,556,0.0
1786546225.2209156,556,0.0
1786546225.7208898,556,0.0
1786546226.2208624,556,0.0
1786546226.720934,556,0.0
1786546227.2208545,556,0.0
1786546227.7208574,556,0.0
1786546228.2209158,556,0.0
1786546228.7208805,556,0.0
1786546229.220839,556,0.0
1786546229.7209163,632,4.73378849029541
1786546230.2209072,773,6.877579689025879
1786546230.7208629,1103,16.18988800048828
1786546231.2208872,1665,28.390689849853516
1786546231.72082,1938,9.863313674926758
1786546232.2208493,601,-70.34817504882812
1786546232.7208765,-304,-39.74687576293945
1786546233.2208097,-295,2.302394390106201
1786546233.7208645,951,62.98054122924805
1786546234.2208517,1587,26.96034812927246
1786546234.7208912,337,-63.502655029296875
1786546235.2209194,61,-12.048144340515137
1786546235.7208495,60,-0.05052066594362259
1786546236.2209165,60,0.0
1786546236.7209284,60,0.0
1786546237.2207863,60,0.0
1786546237.7208078,60,0.0
1786546238.2208545,60,0.0
1786546238.7207527,60,0.0
1786546239.2209163,60,0.0
1786546239.720858,60,0.0
1786546240.220921,60,0.0
1786546240.7210002,60,0.0
1786546241.2209013,60,0.0
1786546241.7210085,60,0.0
1786546242.221225,60,0.0
1786546242.7208848,60,0.0
1786546243.2208545,60,0.0
1786546243.7208047,60,0.0
1786546244.220796,60,0.0
1786546244.7209585,60,0.0
1786546245.2212913,60,0.0
1786546245.720776,60,0.0
1786546246.2207754,60,0.0
1786546246.7208526,60,0.0
1786546247.2208836,60,0.0
1786546247.7209313,60,0.0
1786546248.2209365,60,0.0
1786546248.7209506,60,0.0
1786546249.2209225,60,0.0
1786546249.721508,60,0.0
1786546250.2208548,60,0.0
1786546250.7210553,60,0.0
1786546251.2211928,60,0.0
1786546251.7209568,60,0.0
1786546252.2208471,60,0.0
1786546252.720936,60,0.0
1786546253.2209182,60,0.0
1786546253.7209032,60,0.0
1786546254.2210371,60,0.0
1786546254.7213361,60,0.0
1786546255.2210433,60,0.0
1786546255.7211094,60,0.0
1786546256.2209027,60,0.0
1786546256.7209275,60,0.0
1786546257.2210138,60,0.0
1786546257.7208295,60,0.0
1786546258.220874,60,0.0
1786546258.7208643,60,0.0
1786546259.2209609,60,0.0
1786546259.7214665,60,0.0
1786546260.220941,60,0.0
1786546260.7209368,60,0.0
1786546261.220924,60,0.0
1786546261.720838,60,0.0
1786546262.2209313,60,0.0
1786546262.720938,60,0.0
1786546263.22086,60,0.0
1786546263.7209377,60,0.0
1786546264.2209399,60,0.0
1786546264.720938,60,0.0
1786546265.2209365,60,0.0
1786546265.7209105,60,0.0
1786546266.2209268,60,0.0
1786546266.720956,60,0.0
1786546267.220966,60,0.0
1786546267.7208693,60,0.0
1786546268.2209027,60,0.0
1786546268.7208352,60,0.0
1786546269.220851,60,0.0
1786546269.7209272,60,0.0
1786546270.2210407,60,0.0
1786546270.7209644,60,0.0
1786546271.2209027,60,0.0
1786546271.7209277,60,0.0
1786546272.2208548,60,0.0
1786546272.72092,60,0.0
1786546273.2210996,60,0.0
1786546273.7208354,60,0.0
1786546274.2210333,60,0.0
1786546274.720883,60,0.0
1786546275.2209156,60,0.0
1786546275.7209556,60,0.0
1786546276.221133,60,0.0
1786546276.7211318,60,0.0
1786546277.2208207,60,0.0
1786546277.7208693,60,0.0
1786546278.2208624,60,0.0
1786546278.7209013,60,0.0
1786546279.2209325,60,0.0
1786546279.7209492,60,0.0
1786546280.2209406,60,0.0
1786546280.7211614,60,0.0
1786546281.2208986,60,0.0
1786546281.7208674,60,0.0
1786546282.220865,60,0.0
1786546282.7209342,60,0.0
1786546283.2208915,60,0.0
1786546283.7208576,60,0.0
1786546284.2208142,60,0.0
1786546284.7209492,60,0.0
1786546285.2208414,60,0.0
1786546285.7208712,60,0.0
1786546286.2208297,60,0.0
1786546286.7208865,60,0.0
1786546287.2209458,60,0.0
1786546287.7208805,60,0.0
1786546288.2209377,60,0.0
1786546288.7208743,60,0.0
1786546289.2208712,60,0.0
1786546289.7208674,60,0.0
1786546290.2207944,60,0.0
1786546290.7208827,60,0.0
1786546291.220844,60,0.0
1786546291.7208426,60,0.0
1786546292.2208729,57,-0.050068195909261703
1786546292.720901,59,0.0
1786546293.2208831,59,0.0
1786546293.7208638,59,0.0
1786546294.2209437,59,0.0
1786546294.7208765,59,0.0
1786546295.2208486,59,0.0
1786546295.7208786,59,0.0
1786546296.2208345,59,0.0
1786546296.7208815,59,0.0
1786546297.2208695,59,0.0
1786546297.7208626,59,0.0
1786546298.2209194,59,0.0
1786546298.7208595,59,0.0
1786546299.2208667,59,0.0
1786546299.720811,59,0.0
